  aperture filter progID V3IdlYAngle_mean V3IdlYAngle_mean_err V3IdlYAngle_stdev V3IdlYAngle_Ngood V3IdlYAngle_Nclip    V2ref_mean V2ref_mean_err V2ref_stdev V2ref_Ngood V2ref_Nclip    V3ref_mean V3ref_mean_err V3ref_stdev V3ref_Ngood V3ref_Nclip
nrca1_full  f210m  01476      -0.55277083           0.00143543        0.00379778                 8                 0  120.56868648     0.00337549  0.00893071           8           0 -527.50366813     0.00274643  0.00726638           8           0
nrca2_full  f210m  01476      -0.20860525           0.00074599        0.00197370                 8                 0  119.72923805     0.00516374  0.01366198           8           0 -459.78644207     0.00267833  0.00708620           8           0
nrca3_full  f210m  01476       0.27949377           0.00100060        0.00264733                 8                 0   51.93812724     0.00332409  0.00879471           8           0 -527.93093979     0.00388896  0.01028921           8           0
nrca4_full  f210m  01476       0.09744962           0.00111475        0.00294935                 8                 0   52.34879803     0.00498494  0.01318891           8           0 -459.90453445     0.00370763  0.00980947           8           0
nrca5_full  f335m  01476      -0.06459162           0.00110448        0.00292217                 8                 0   85.91694494     0.00418044  0.01106040           8           0 -493.50681653     0.00320923  0.00849083           8           0
nrcb1_full  f210m  01476       0.34431696           0.00057922        0.00115843                 5                 3 -122.43825454     0.00507539  0.01342823           8           0 -457.71438526     0.00715963  0.01894259           8           0
nrcb2_full  f210m  01476       0.84557318           0.00091281        0.00241507                 8                 0 -122.68816618     0.00399705  0.01057521           8           0 -525.42942605     0.00699702  0.01851238           8           0
nrcb3_full  f210m  01476      -0.45363049           0.00113636        0.00300653                 8                 0  -54.62150630     0.00458070  0.01211940           8           0 -457.70900355     0.00591132  0.01563989           8           0
nrcb4_full  f210m  01476      -0.34069758           0.00154439        0.00408606                 8                 0  -54.39475689     0.00343491  0.00908791           8           0 -525.63703533     0.00571222  0.01511311           8           0
nrcb5_full  f335m  01476       0.02253280           0.00095215        0.00233228                 7                 0  -89.41330302     0.00470497  0.01152477           7           0 -491.38168510     0.00438263  0.00759095           4           3
